,text,neg
40,"RT @littlejessieeee: I'm good , and I'm always going to be good no matter who fw me and who don't .",0.286
41,#Syria chemical dump brought to by the eye of Horus https://t.co/EX4WzHt8Rk,0.0
42,"RT @57Nena: REGRESEMOSLES LAS MISMAS BOMBAS; CON TAPA BOCA, VINAGRE, ESAS SON NUESTRAS ARMAS Y PROTECCIÓN, NOS HA RESULTADO! https://t.co/N…",0.16
43,"RT @DonaldJTrumpJr: Looks like @realDonaldTrump was right yet again. ""Confirmed: Susan Rice ""Unmasked"" Trump Team"" | Zero Hedge https://t.c…",0.128
44,이제 블랙위도우보면 니킥 날리고 핫!핫! 만 생각남ㅋㅋㅋㅋ https://t.co/BxLsRdf0xH,0.0
45,اه والله 👌👌 https://t.co/APSId2x8iu,0.0
46,"https://t.co/cwioFCiJJ2
#idolmaster_SideM #パッション解放
https://t.co/QDwb9tfgZw",0.0
47,RT @tedcruz: This week Judge Neil Gorsuch will be confirmed to #SCOTUS &amp; it is a victory for the American people:… ,0.0
48,ربِّ أسألك خير ما في هذا اليوم وخير ما بعده وأعوذ بك من شر ما في هذه الليلة وشر ما بعدها https://t.co/VaxSOIPLky,0.0
49,(وقل جاء الحق وزهق الباطل إن الباطل كان زهوقا) [الإسراء:81] https://t.co/z5KJRnCpUH,0.0
50,I added a video to a @YouTube playlist https://t.co/jBTHuLkmcR YaBoyBigChoo Adele - Hello - ft Denisia (Bounce Remix),0.0
51,"@imVkohli come on #RCB we can win this, we r the best in the world...#RCBian4ever #PlayBold @RCBTweets https://t.co/lIvonlnjjo",0.348
52,RT @Abdullaali_2: لا تعشقي فقيرا .. إذا كنتِ تريدين شيئا اكثر من الحب ! https://t.co/dsAlItmAZR,0.0
53,RT @fyhx: 自分のカルデアにおいて発生しそうなクッソくだらないネタを #うちカルデア ってタグで垂れ流してるクソ腐女子っていいます！  #4月だからフォロワーさんに自己紹介しようぜ https://t.co/LylDvykGRa,0.0
54,Isn't it amazing? Sebastian and his 3D Selfie. 3D scanned and #3D #printed in marzipan by Bocusini. https://t.co/uscTYOHHja,0.0
55,ربي أعوذ بك من الكسل وسوء الكبر ربي أعوذ بك من عذابٍ في النار وعذاب في القبر https://t.co/1nsHu9KP05,0.0
56,RT @inumoto: けもフレ13話待機 https://t.co/5NbKQVWXqE,0.0
57,"RT @deepsrkian: This two friendss look like happy married couple.
..@iamsrk @KajolAtUN 
@SRKUniverse 🤗🤗😍😍 https://t.co/YQtXEhrLcR",0.323
58,¡Tribuna Antiimperialista! Mujeres de la Patria ratifican su lucha por la paz y soberanía https://t.co/UDl51YagNE https://t.co/yBhNqCQcJJ,0.0
59,RT @Spliffage: You can't be real with me u ain't even real with yourself,0.0
60,https://t.co/mHUVXTf9Hw,0.0
61,https://t.co/aIH3rGhv9i,0.0
62,"Başkanlık Sistemi Gelişmiş Ülkelerde mi Görülüyor?
https://t.co/bmMfwmK7cZ
#BenceMerakEtmelisin
#5n1kTV
 ""Dursun Çiçek""",0.0
63,https://t.co/cXxk2tIKVL,0.0
64,"一番好きだったユニットだからショック隠せない〜😭
C10さんの自然と笑顔になる動画ほんとーーに大好きでした！いっぱいの最高と元気をありがとうございました！🌸 https://t.co/S5HnIettlz",0.0
65,"RT @shawncarrie: The moment when a hospital treating #Idlib chemical attack victims is hit by an air strike. #Syria.
v/ Fadi Al Hala… ",0.0
66,RT @vaiIagay: Meu sonho de princesa é ter um desses pra sair por ai https://t.co/AKf3Gk63a2,0.0
67,RT @narendramodi: रामनवमी के पावन अवसर पर देशवासियों को हार्दिक शुभकामनाएं। Greetings on Ram Navami. https://t.co/QK9DyxF0e9,0.157
68,RT @taisdeverdade: #MexeuComUmaMexeuComTodas #ChegaDeAssédio https://t.co/hAYIt86rTs,0.0
69,There is a method to your madness as you attempt to keep every... More for Leo https://t.co/KwEp1YVIOy,0.0
70,(وإن الذين لا يؤمنون بالآخرة عن الصراط لناكبون) [المؤمنون:74] https://t.co/KqTv3cjCn2,0.0
71,Lyft Driver Part Time (Independent Contractor) https://t.co/fz6UUmEZxF https://t.co/8Schd3Y41a,0.0
72,RT @GuigousFandom: QUE TIRO https://t.co/UiUpExHFXp,0.0
73,IM CRYING @BLarracuente @dylanminnette 😭😭 https://t.co/1WYLAclcxT,0.0
74,RT @SerinaHartwell: https://t.co/NkXY0AmnoK #amwriting #amreading #amwritingfantasy #authors #writers #Fantasy #cOnvey #books #IAN1 #YA… ,0.0
75,اللهم لك الحمد حتى ترضى و لك الحمد اذا رضيت و لك الحمد بعد الرضا https://t.co/1Lc51jEu4q,0.0
76,RT @work4team: he just looks so happy https://t.co/KbjrNSDG7Q,0.404
77,دعاء الجلسة بين السجدتين:اللهم اغفر لي وارحمني واهدني واجبرني وعافني وارزقني وارفعني https://t.co/Y3Ybgtz8wN,0.0
78,"Varför har jag byxor på mig, när jag är hemma?",0.0
79,Gus Bilirakis &amp; #Republicans want to gut out your mothers #medicare when repealing #Obamacare. Ask him https://t.co/7PVjClpesi #Florida,0.071
80,"RT @Rex_Aluminio: Señor VIVIANI : Parece que usted no entendió nada.
Usted no sirve para vivir en Democracia , por lo tanto lo vamos… ",0.0
81,RT @TimesNow: .@ArvindKejriwal had these political rhetorics and slander against Arun Jaitley as well as his family: Dr. Sambit P… ,0.1
82,RT @Cristiano: Soon👀 https://t.co/LOX4aKqo2P,0.0
83,"""McGregor tiene poder de KO y Mayweather puede llevarse una sorpresa"" https://t.co/iX3IcmLToT https://t.co/FBxNcnH9q9",0.0
84,@Dylan_Todd_ https://t.co/qlprF9Oh0m,0.0
85,Sólo hasta mañana: 2x1 en más de 4 mil prendas! ⚡ 🙈 #PINKSALE -  https://t.co/9tydLwO3W7,0.0
86,"RT @LittleLunaNymph: 🎮Go Vote! https://t.co/7KljWf2Ftc 🎮
Each outfit/video needs 20 votes to be able to purchase what I need! So the fir… ",0.0
87,"Found a Transponder Snail!
Take a look at the Fishmen behind Arlong Park!
https://t.co/a8yGxk3SlG #TreCru https://t.co/z3nH7qqz61",0.0
88,Get your Early Season Viburnum while the getting is good! Welcome to Part 2 of our Spring Flower Series!… https://t.co/DrmODnEMBW,0.276
89,RT @Awesome_planet_: 🤔 -This chimpanzee should be play in the NFL ..... wait for it https://t.co/OyHqiTjY4D,0.138
90,RT @s_k_k: 人外のオッサンと女の子のまんが https://t.co/Kb0beKX2fr,0.0
91,野球漫画の不朽の名作、マンガワンに登場！ちばあきお先生の『キャプテン』全巻がアプリで今だけ読める！ https://t.co/L4nsBZBAJJ,0.0
92,RT @GRlFFERS: IM SCREAMING WHAT IS SHE DOINGGGGG https://t.co/BP3GZ3JWDB,0.0
93,À toi de jouer et rejoins-nous vite ! https://t.co/Pp4wcl8BdB,0.0
94,Tal cual😊😊😊 https://t.co/Eb9mA4qLvI,0.0
95,"Choosing the Right KPIs for Modern Business Success
https://t.co/JOULRqTSCY via @aligntoday",0.27
96,@RedDevlz  https://t.co/BbrwSMWkWE,0.0
97,#Nowplaying Automatic by Pointer Sisters #listen at https://t.co/gnvMHKNF0r https://t.co/Xh39mIQSge,0.0
98,"RT @britishdeep: Eşcinsellik büyük bir sapıklıktır. #idlib #SafınıSeçYaHilalYaHaç
#CesaretBulaşıcıdır
#Yüzde100Hayır… ",0.0
99,"RT @M_0g: أرجوكم، لا تكونوا مِثْلَ عبدالعزيز!
- قصة قصيرة. https://t.co/fEgOm2sNU9",0.0
100,RT @nuttyinlove46: 148.บ่นอะไรพี่เค้าลูก ฮรื่อออ~ 😊 https://t.co/P1cpOYE9PN,0.0
101,RT @tranmererovers: Today's teamsheet- Tranmere Rovers v Sutton United #TRFCLIVE https://t.co/CRN92MiuEk,0.237
102,"RT @dwolfman54: Let's dump the ""clean"" coal ash at Mar-a-lago. https://t.co/rdhUKbUeYX",0.0
103,"RT @bfraser747: 🚨🚨 Great Video

This always cheers me up this music video ""What difference does it make"" please watch &amp; retweet...… ",0.333
104,"RT @BTS_twt: #시걸
위메 꿈나무 https://t.co/sXS6WhCK20",0.0
105,Classics!!!!!! https://t.co/jhnenq3X4i,0.0
106,"Mande o canal para os amiguuus ♡ @srpedro 
https://t.co/viHFLixpmi",0.0
107,My mom made me cry on my birthday lol be grateful for having such a loving mother??? Don't make her feel like shit… https://t.co/uiYEjG4piO,0.376
108,RT @dog_rates: This is Kevin. Kevin doesn't give a single h*ck. Will sit in the fountain if he wants to. 13/10 churlish af https://t.co/r6G…,0.0
109,RT @FunnyPicsDepot: what swag looked like in '98 https://t.co/UDJi6En3ib,0.238
110,Pegaria Giovanna Capiroto — Sim https://t.co/tJE4r3d7U5,0.0
111,RT @hayriyesari35: @GenclikOdulleri şaka gibi dakikalar ićinde Engine 6200 oy yuh ya. #tolgasarıtaş'ın reklam ve oyuncu ödülü çalınıyo… ,0.0
112,RT @MCHammer: 👊🏾💯 Salute  #PerfectNight @Iam360WISE https://t.co/FDeJqdAiVk,0.0
113,#married couples homemade sex videos black fucking asians https://t.co/xFWW6FZI4P,0.0
114,لمشاهده الفيديو كامل اضغط هنا https://t.co/a6JSPbYUJI https://t.co/6AeaeEN4mp PGI,0.0
115,RT @ThirtySecFights: Boy shouldn't have looked at the camera 😂 https://t.co/UsjArtxlGN,0.0
116,"خارجية #فرنسا: الهجوم #الكيماوي يختبر الإدارة #الأمريكية الجديدة في #سوريا 
https://t.co/PPEEDFJKJ3 https://t.co/GRPaAd84kV",0.0
117,RT @morakinyor_: Thanks so much Swank Pharm! You rock https://t.co/xXafO9gkyS,0.262
118,Please RT! #beauty #cosmetics #makeup VALENTINES PINK &amp; RED LIP PICKS https://t.co/soW4tbGLB2 https://t.co/vGoInuBjrQ,0.178
119,RT @caitlinstreit1: North Korean Defector Warns ‘World Should be Ready’ For NK Nuke Attack! https://t.co/EFReZGh4jB,0.0
120,"RT @HayQueSaberlo: La fecha de caducidad de las botellas de agua es para la botella, no para el agua. https://t.co/dVCR6gtPCy",0.0
121,貴方は無料アダルトサイトの危険性をご存じですか？ https://t.co/Fz4sA6Yn4M いや、それならもう見せろよ、、、ってレベルでチクビとマンコを見事隠してるまんさんの画像貼ってく。（画像多量）,0.0
122,RT @Salviarose: articulate daniel ⭐ @danisnotonfire https://t.co/qAsml4zzZz,0.0
123,"RT @Turkiye_EVET: #CumhurbaşkanıErdoğan

Yeni sistemde Cumhurbaşkanı, Anayasaya aykırı olmamak şartıyla kararname çıkarabiliyor. https://t.…",0.0
124,"RT @ImpulSionNeo: Allah y Rahmek frero...
RT la famille s'ils vous plait .

https://t.co/v9tLq4p7jk",0.0
125,إجعل من حسابك في تويتر صدقة جارية لك في حياتك وبعد مماتك https://t.co/s8aFarEHb0,0.0
126,RT @TomthunkitsMind: She Warned Us. https://t.co/vVb2qQWYRc,0.0
127,RT @MadeInVag: mano tu enfias o dedo no nariz e ele toca te no cérebro https://t.co/KQ6QT7TiqJ,0.0
128,RT @LaurenLinto1: HAPPY TUESDAYAYAY 🇦🇺💖 @EthanDolan @GraysonDolan https://t.co/PO4HgHQ0Ah,0.388
129,Our Medical Examiner Liaison Team ensure that we maintain and expand relationships with our experts. https://t.co/CZO3lWgCxB,0.259
130,RT @IBigHitEnt: #방탄소년단 #아미 #정국 #뷔 #태꾹 #Kookie #Taetae #BTS https://t.co/CwsIF7HFYK,0.0
131,RT @KateLianegulsky: https://t.co/8DKf3IgT43,0.0
132,RT @ManUtd: Here is tonight's #MUFC line-up... #MUNEVE https://t.co/lzPRhnDWR1,0.0
133,@irejdoc1897 @SrHenrikLarsson telescopio  mejor https://t.co/FSPT168ASa,0.0
134,東京ガスの就活・就職活動のクチコミ情報 https://t.co/gGfAwGvV7c,0.0
135,"RT @clamartinezz: E quando juntaaa, vishhhh...🤑💣💥 https://t.co/MMrAHUX5Qc",0.0
136,RT @hstylespics: just how fast the night changes https://t.co/WrUTQqhGzG,0.0
137,@danadamattos Cê tá Mariana em (cê tá puta) kkkkkkkkkkk,0.0
138,"RT @csydelko: me: can I please get paid for my content?

youtube: are you a beauty guru or family vlogger?

me: no

youtube: https://t.co/7…",0.234
139,RT @WORLDSTARC0MEDY: If you don't remember this vine we cannot be friends. https://t.co/YmXabKavmp,0.0
140,"RT @hackeralrey: Os imagináis que Ramón Espinar fuera el protagonista de esta noticia?
 Esto no es Coca-Cola https://t.co/paNYYM9Jns",0.0
141,RT @thelifeofanti: https://t.co/qkRTaOLYsf,0.0
142,《Twitter割引情報》【宴会】2h飲放題付 7品 2980円～！個室のお席でゆったり宴会を／横浜駅徒歩3分／個室50名様可。宴会50名様可。 #横浜　#居酒屋　＃日本酒 https://t.co/9kaySdDicK,0.0
143,"RT @LaAlamedaYuc: #TeBuscamos Álvaro Sánchez Fogarty, 17 años, 29/3/17 #Merida #Yucatan @fgeyucatan @AAMBER_yucatan https://t.co/uE5AR4VPtg",0.0
144,"RT @Mohd_NazmiSaeed: #حتى_سابع_جار
لا تجعل سوراً من صنع الانسان يبعدك عن من هم بجانبك https://t.co/f4XpgPb3Eg",0.0
145,"RT @Tom_Gdn: Coutinho est de retour ! Quel coup de rein, quelle facilité. #LIVEVE #LFC 🔴⚪️ https://t.co/REaNxc3iF2",0.0
146,RT @TypicalGlRL: if this ain't me https://t.co/N8ofVE4gVk,0.0
147,"""Bitch, Don't Kill My Vibe"" is Kendrick's best track, no contest.",0.438
148,RT @SoDamnTrue: every girl needs to read this about 100 times. https://t.co/wgUtCDsEJw,0.0
149,"RT @liputan6dotcom: Gay, Waria, dan LSL di Makassar Makin Rentan Terkena HIV/AIDS https://t.co/1yKnqKMfon https://t.co/4cuxuJPo8m",0.0
150,Green Day And Stephen Sing 'Good Riddance (Affordable Lyrics Version)' https://t.co/lZOhm7JPmS via @YouTube,0.195
151,"RT @Let_AmericaVote: For our first ad buy, we're targeting politicians in 3 states that are making it harder to vote. #LetAmericaVote https…",0.0
152,Testing 3d scribble portraits #3dprinting #3Dprint #3dpen #portrait #sculpture #drawing #abs #gizmodorks https://t.co/5s8BYycUqf,0.0
153,RT @RetroSenpai: I'm not taking any chances 😨🙅🏾 https://t.co/rZ7RLOI3go,0.0
154,RT @MGBRSquad: #MGK &amp; #CamilaCabello “Bad Things” #Mashup @radiodisney https://t.co/mT7SlHa7Zh,0.0
155,"Mechanical manufacturing engineer - Netherlands, NetherlandsSIRE Life Sciences  is the market leader https://t.co/m2f4T7lkrx",0.0
156,my baby is so cute 😭❣️ https://t.co/OwgWGh6Hw9,0.392
157,"@perreaux My speculation: Due to falling federal CIT and PIT rates, as this is the primary cause. (But haven't done a decomposition yet.)",0.0
158,"RT @LegionADNLaguna: Happy together sa Coldplay Concert ang ALDUB 👫

Follow @LegionADNLaguna 

#ALDUBxDTBYSabotahe https://t.co/1xZxMgJGQ7",0.222
159,RT @PetBehav_sci: Our third issue is open! Submit your paper about #pet #behaviour or human - animal #bond at https://t.co/D4bRfx0AZk… ,0.0
160,Preds memories.  Season finale tonight #SmashvilleSocial #tweetyourseat S329 RB S3 https://t.co/l0isuzq8qF,0.0
161,"RT @lexxcarefull: dear Lord, guide me. Protect me from anything that wasn't sent by you, give me clarity when I am confused, keep me health…",0.262
162,RT @SyedSalehAbbas: Love isn't something you find. Love is something that finds you.,0.433
163,RT @Polygon: It’s a big day for Invader Zim fans. https://t.co/NPI1H6ksJD,0.0
164,"سبحان الله والحمد لله والله أكبر
♻️ https://t.co/2ioot6BVtn",0.0
165,"RT @xanria_018: Some lessons can’t be taught, they simply have to be learned.
#ALDUBxDTBYSabotahe",0.0
166,"#NBSfacts

Do you own a car? If yes, you do belong to a privileged class of Nigerians.

Find out.

#LiveHappy… https://t.co/I1p3Hompye",0.248
167,"﷽
﴿والذين إذا أنفقوا لم يسرفوا ولم يقتروا وكان بين ذلك قواما﴾
⬅️ https://t.co/7vsCxSGNHD",0.0
168,RT @kashmirVIII: RT if Jenna doesn't deserve her mom https://t.co/m6BJHh7uRG,0.0
169,"Sabe tão bem receber estes miminhos assim do nada! Love u sfm, vadalhoca! Vales mais q platina 😍💙
06'06'2016 🔐👑 https://t.co/eayqb8pGvq",0.21
170,I posted a new video to Facebook https://t.co/WNWwTOAM67,0.0
171,"RT @onediorussia: 10 звезд, сменивших образ после расставания. https://t.co/TSOZ7Lrdwf",0.0
172,اللّهُـمَّ عافِـني في بَدَنـي ، اللّهُـمَّ عافِـني في سَمْـعي ، اللّهُـمَّ عافِـني في بَصَـري ، لا إلهَ إلاّ أَنْـتَ https://t.co/RsNMOfsrWX,0.0
173,"RT @CervezadasCr: Pulsa ""ME GUSTA"",RETWITTEA ESTA IMAGEN y entra en el sorteo de 5 PULSERAS ACCESO DIRECTO para este Jueves 6/4/2017… ",0.0
174,Baltimore County looks to repeal stun gun ban - https://t.co/beqyno9Ysm,0.0
175,"RT @verytoptweet: Ne crois surtout pas que je t'ai oublié, à chaque fois que je vois un chien je pense à toi.",0.0
176,"RT @nami1pc6004: #스포츠토토베트맨온라인
#사설토토추천사이트
☎❧۵

첫충이벤트

☑☑☑☑☑☑
안전클릭   ☑ https://t.co/BTDdwSTIaO  ☑
☑☑☑   ☑☑☑

안-전-놀-이-터
⚖☇
→≠≡
🐎
👯
🐗… ",0.0
177,#texas girls sexy white girls fuckin https://t.co/sjIsvVEBKm,0.362
178,https://t.co/Gb3McqwWUQ,0.0
179,"RT @YRohaibani: كيف قُتلت الإنسانية بدعوى المساواة بين الإنسان والطبيعة؟

الموضوع كاملاً على 
قناة YouTube : يحيى الرحيباني 
أو سنا… ",0.0
180,RT @kashmirVIII: RT if Jenna doesn't deserve her mom https://t.co/m6BJHh7uRG,0.0
181,"RT @chulacuteboy: #แมวมิวซ์ เกรี้ยวกราดแล้วนะเว่ยยยยยยยยย !!!

#mmmmmmmuse #ไบร์ทมิวซ์ #chulacuteboy https://t.co/XAbvpYNTE3",0.0
182,"when Jamie lost it, i lost it. https://t.co/Mb2JY3ZwHF",0.0
183,You usually lie every day. RT @AnnCoulter: Susan Rice told PBS Newshour she knew nothing about (cont) https://t.co/OLdtFCMn4V,0.0
184,"RT @ShaneMalpass: George Thorne is that injury prone, he now has to wear a seatbelt in training to protect him. #DCFC https://t.co/64so8iYv…",0.107
185,Palermo no es Hollywood. @ Vall de Uxó https://t.co/kJbX13rAxp,0.0
186,ربي أعوذ بك من الكسل وسوء الكبر ربي أعوذ بك من عذابٍ في النار وعذاب في القبر https://t.co/p8a7BGnc2k,0.0
187,"Arms giant pays out over #sex #discrimination.

https://t.co/82sUEOoGtf",0.0
188,"RT @hassan_almarifi: #مهرجان_المدينة_الانشادي
 #المدينة_عاصمة_السياحة_الاسلامية https://t.co/VEmtYxWfSY",0.0
189,HYUNDAI ROBEX 300LC-9A 18M LONG REACH https://t.co/EvEBWlILEd HYUNDAI ROBEX 300LC-9A 18M LONG REACH,0.25
190,RT @snappr0bs: u prob won't believe her snap story🙀👉🏼https://t.co/n4FgXix8fD https://t.co/3YccdNEkn1 https://t.co/Edd6I7JxHm https://t.co/y…,0.0
191,RT @jojom903: إنِيِ  أرّآكَ وأسمعَكَ يعآنقنِي طيفكَ فأقَبَل روحَك يآجملَ روح سكنَتَ بِي '،،،، https://t.co/vrURLrGWGV,0.0
192,Neil Lennon and Jim Duffy charged by SFA over bust-up #HFC #Hibs #GGTTH #FNH https://t.co/xU8CG8hpjb,0.0
193,RT @Benoo_Brown: Here is a baby fox learning how to sit https://t.co/IONWZdnQy2,0.0
194,"RT @_Kalfi_: Chtěl bych mít partu kamarádů, sednout si do parku a bavit se o všem možném, popíjet, smát se a mít konečně pocit že někam pat…",0.0
195,RT @nnnnoeyyy: หนังสือพิมพ์ไทยรัฐวันนี้ กูเป็นพนักงานคนนี้ กูโกรธคนเลือกรูปนี้ลงหน้า 1 https://t.co/XzlNPzQ5JC,0.0
196,"RT @yorgunozer: #SafınıSeçYaHilalYaHaç Kıyasıya bir savaştı bu, Haç'la Hilâl'in, Batı'yla Doğu'nun, iman'la inkâr'ın savaşı. Sende tarafını…",0.0
197,"RT @edmundo61172649: #베트멘토토
#스포츠토토배팅
사-설-토-토-사-이-트-추-천

⛎
♑

🔻🔻
접속➡https://t.co/AZThYj79C4
🔺🔺

⛎
♑

LoEU https://t.co/w7amU6J3eT",0.0
198,"@AlexTheAsshole ' You're jokes are racist and gay, but don't get me wrong racist joker are funny ' Makes sense I guess lol",0.394
199,RT @fashionkiIIas: Denim Fit. https://t.co/cwywNwe3wf,0.385
200,RT @fashionkiIIas: Denim Fit. https://t.co/cwywNwe3wf,0.385
201,"“Ressamın Paleti bir Anlam Taşımaz. Her şeyi Yapan Gözüdür.”
Şahidi Yurdumuzda Resim Kursumuz... https://t.co/5XxxIc3Kvx",0.0
202,"RT @JnHr8: فك الله بالعزاسره
أسأل الله العلي العظيم
أن يحفظه من كيدالكائدين ومكرالماكرين وان يرده إليكم سالماً… ",0.0
203,(يوفون بالنذر ويخافون يوما كان شره مستطيرا) [الانسان:7] https://t.co/Io9MQC3BRy,0.0
204,RT @hakan_aygun: Hayır'cı kadınların tüm renkleri buluşuyor. SANSÜRSÜZ TV BU AKŞAM 2100... https://t.co/pkku6l3SE3,0.0
205,"RT @wdws1400: .@MichaelWDWS reports that some officers with @ChampaignPD started wearing body cams today, as planned.… ",0.0
206,RT @Forever_Vicious: A GhxstGod Original of @AndersonPaak X @Knxwledge In A World Of Nx Worries https://t.co/v6rDq4lQkB,0.143
207,LOL! Below the belt 😭😂 https://t.co/xJ8LJLWd64,0.433
208,"RT @wwwelllasgr: Η ΣΥΝΕΙΔΗΣΗ ΤΗΣ ΕΛΛΗΝΙΚΟΤΗΤΑΣ ΣΤΟ ΒΥΖΑΝΤΙΟ
https://t.co/IV6u7BQBrx https://t.co/FCY4orxQxl",0.0
209,Ciuszki na dziewczynke OLX.pl https://t.co/dSejqyJ4ew,0.0
210,RT @JMilei: Mirá el tipo de nota que puede llegar a escribir un estatista HDRCRMP. Vení a ganarte la vida en el sector privado… ,0.0
211,RT @_Error_4O4_: La mejor que he visto... 😂😂😂😂😂😂😂 https://t.co/x17mwZ7RhB,0.0
212,RT @QBINZE: Je lui passe des serviettes et le sèche-cheveux pour qu'elle puisse se sécher https://t.co/901zqKTWYT,0.0
213,(ليكفر الله عنهم أسوأ الذي عملوا ويجزيهم أجرهم بأحسن الذي كانوا يعملون) [الزمر:35] https://t.co/KAeyLf3CFr,0.0
214,"RT @arianasharmoni: CAMILA DID THAT.
CAMILA REALLY DID THAT.
https://t.co/D6YDAdTk0q",0.0
